Vehicle_ID,Source,Destination,RL_Waiting_Time,RL_Total_Travel_Time,Reward
2,Technology,Commercial,0,5.35,-0.10267424583435095
4,Administrative,Residential,0,5.35,-0.14238289833068887
3,Logistics,Research,0,5.46,294.30431438446044
8,Logistics,Commercial,0,5.39,-0.13059281349182097
6,Administrative,Financial,27.25,32.57,207.00852377891542
10,Technology,Financial,27.1,32.51,506.99486923217773
15,Technology,Financial,21.75,27.15,-21.757780895233154
13,Research,Financial,24.59,29.98,319.1483160305023
16,Industrial,Logistics,24.5,29.9,198.9345551300049
12,Research,Logistics,29.81,35.3,324.21923639297484
22,Industrial,Logistics,0,5.36,163.65904690742494
1,Financial,Industrial,59.97,65.29,-59.911592359542844
11,Research,Industrial,59.78,65.2,-59.843638792037964
14,Commercial,Research,54.56,59.95,169.12084347724917
5,Industrial,Residential,59.93,65.32,474.33947649955746
7,Commercial,Residential,59.88,65.3,119.7369096660614
9,Industrial,Technology,59.9,65.32,-0.42833600997925314
20,Financial,Technology,24.71,30.1,2.0631379222869852
18,Financial,Technology,27.41,32.81,184.96704438209534
17,Administrative,Residential,30.01,35.37,-29.99831831932068
19,Technology,Industrial,30.01,35.4,-30.132437448501587
21,Industrial,Commercial,30.02,35.33,433.8159514904022
28,Technology,Commercial,0,5.37,54.502807970046995
23,Logistics,Technology,30.01,35.46,313.7083536815643
31,Logistics,Research,5.38,10.84,38.34175389289856
36,Residential,Industrial,0,5.37,169.1800415992737
25,Administrative,Financial,30.01,35.34,24.731393642425537
24,Commercial,Financial,30.1,35.42,24.576284408569336
35,Industrial,Administrative,24.59,29.92,-24.65403745651245
33,Industrial,Administrative,27.3,32.64,21.793631963729858
41,Research,Financial,0,5.36,158.35920283317566
43,Research,Administrative,0,5.4,-0.05314078330993635
38,Commercial,Industrial,43.59,48.93,-43.70719149589539
42,Commercial,Industrial,24.57,29.89,73.90608363151551
27,Commercial,Residential,59.91,65.33,49.15734504699707
26,Industrial,Logistics,60.04,65.42,-60.026866064071655
34,Industrial,Logistics,54.64,60.04,163.4340417098999
37,Research,Logistics,48.96,54.45,119.97051970481871
39,Research,Logistics,24.6,30.08,-24.80899022102356
29,Industrial,Research,59.94,65.37,158.28863516807556
32,Industrial,Research,57.37,62.8,-8.207792911529543
30,Research,Commercial,60.01,65.4,-60.02302944183349
40,Research,Technology,30.0,35.49,-30.10951053619385
44,Logistics,Research,30.01,35.66,62.27972740173339
56,Logistics,Research,0,5.47,109.10611470222474
53,Logistics,Financial,40.71,46.09,2.7396446037292477
55,Commercial,Financial,35.43,40.75,259.3836075115204
52,Administrative,Financial,40.82,46.14,13.68985708236695
